job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,C,29,standard,72,0
J2,general,27,standard,75,0
J3,general,26,urgent,66,0
J4,B,28,standard,137,0
J5,C,26,standard,135,40
J6,C,31,standard,116,40
J7,general,26,standard,112,40
J8,C,51,standard,152,40
J9,general,33,standard,223,80
J10,B,32,urgent,145,80
J11,general,50,standard,203,80
J12,B,54,standard,286,120
J13,B,52,standard,220,120
J14,general,50,standard,231,120
J15,A,51,standard,232,120
J16,B,34,standard,316,170
J17,general,37,standard,280,170
J18,general,35,urgent,250,170
J19,B,26,standard,356,220
J20,B,36,urgent,292,220
J21,general,45,standard,348,220
J22,B,37,standard,328,220
J23,C,53,standard,419,280
J24,B,47,standard,443,280
J25,general,48,standard,420,280
J26,C,43,standard,430,330
J27,general,35,standard,420,330
J28,A,52,standard,428,330
J29,general,44,standard,466,330
J30,A,34,urgent,457,390
J31,general,30,standard,492,390
J32,general,32,urgent,464,390
