job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,general,62,standard,119,0
J2,general,62,urgent,78,0
J3,general,35,standard,87,0
J4,general,30,standard,88,0
J5,A,34,standard,79,0
J6,A,35,urgent,75,0
J7,A,69,urgent,95,0
J8,general,59,standard,156,0
J9,general,59,standard,155,0
J10,general,30,standard,136,60
J11,general,31,urgent,124,60
J12,general,70,standard,217,60
J13,A,41,standard,170,60
J14,B,65,standard,187,60
J15,A,31,standard,175,60
J16,B,58,standard,210,90
J17,A,69,standard,214,90
J18,A,54,standard,198,90
J19,general,63,standard,263,90
J20,general,46,standard,185,90
J21,B,44,standard,425,300
J22,general,36,standard,400,300
J23,B,60,standard,415,300
J24,B,48,urgent,376,300
J25,general,68,standard,431,300
J26,general,65,standard,431,300
J27,general,51,standard,423,300
J28,general,58,urgent,390,300
